5.4586e+00  1.4886e+00  6.2120e+00
1.0978e-01  2.2575e+00  1.1056e+00
1.0978e-01  2.8132e+00  2.9050e-01
1.3979e-01  1.1793e+00  4.9411e+00
2.8028e+00  1.9957e+00  1.2034e-02
5.6809e+00  1.7714e+00  6.1018e+00
1.0978e-01  2.9171e+00  1.5054e+00
1.0978e-01  8.5543e-01  2.8850e-01
1.7318e+00  1.7817e+00  5.7687e+00
2.1210e+00  1.8361e+00  5.1199e-03
1.0978e-01  2.1611e+00  4.0852e+00
7.7705e+00  1.6106e+00  6.1379e+00
1.6632e+00  1.3641e+00  6.4399e-01
2.5815e-01  1.5064e+00  4.0725e+00
1.0978e-01  3.4884e-01  4.8877e+00
2.7445e+00  1.4304e+00  6.0935e+00
1.0978e-01  2.2731e+00  5.6467e+00
2.5943e+00  1.3739e+00  1.0685e-01
1.0978e-01  1.6512e+00  2.5980e+00
4.2480e+00  1.5788e+00  2.1809e-03
1.2329e+00  1.6141e+00  3.6554e-01
1.7044e-01  8.5119e-01  5.8130e+00
1.0978e-01  1.1633e+00  4.3567e+00
1.0978e-01  2.5836e-01  1.4617e+00
1.5417e+00  9.8796e-01  2.1094e-01
1.0978e-01  2.4198e+00  3.4990e+00
3.0909e+00  1.8153e+00  1.2995e-01
1.0978e-01  1.1800e+00  2.1632e-01
3.7313e+00  1.9165e+00  6.0773e+00
8.4643e-01  1.0791e+00  1.9533e-01
1.0978e-01  9.6723e-01  2.9078e-01
1.1373e+00  1.2065e+00  5.4532e-02
1.0978e-01  1.6863e+00  5.2392e+00
6.3924e-01  2.9542e+00  3.2842e+00
7.5694e-01  1.9550e+00  6.1787e+00
2.7940e-01  7.0695e-01  3.0827e+00
3.3786e+00  1.7259e+00  1.6662e-02
1.2328e+00  1.9042e+00  5.7787e+00
1.9828e-01  7.4250e-01  2.2841e+00
1.6995e-01  7.5226e-01  3.0341e+00
1.0978e-01  5.3060e-01  3.2992e+00
1.2862e-01  2.1935e+00  5.6434e+00
1.0978e-01  1.2091e+00  8.1154e-01
1.0978e-01  1.3254e+00  6.3501e-01
